Original Attribute,Description,Sample Record,New Attribute
**ID**,"A unique cataloging number automatically assigned by Microsoft Office Access to each record within PILOT.",269,``projects.source_id``
**Test Folder**,"A database field that specifies the location of the pile load test records for each load test contained within the database. The directory housing these various pile load test records, the Pile Load Tests Records Directory, is organized by three volumes. Volume 1 consists of pile load test records for steel H-piles, Volume 2 consists of pile load test records for prestressed concrete, Monotube, and steel pipe piles, Volume 3 consists of pile load test records for timber piles, and Volume 4 consists of pile load test records for those piles tested as a part of IHRB Project TR-583 (Ng et al., 2010). Therefore, the possible entries into this database field are as follows: Volume 1, Volume 2, Volume 3, or Volume 4.","Volume 4",``misc.iowa_test_folder``
**Lab Number**,"The identification number used by the Iowa DOT to distinguish between the various test piles (e.g., AXP0-1, AXP1-9, etc.).","ISU5",``misc.iowa_lab_number``
**Contractor**,"The name of the contracting company responsible for the construction of the specified bridge project including driving of the test pile.","Herberger Construction Co., Inc.",``projects.contractor``
**Project Number**,"The unique Iowa DOT cataloging number assigned to each construction project.","BRFIMX-035-1(105)33--14-20",``projects.number``
**Design Number**,"This database field goes hand in hand with the previously described field (Project Number). For every construction project in the State of Iowa, in addition to assigning a unique project number, each bridge project within the construction project is assigned a unique design number. The bridge design number corresponding to a specified pile load test is entered into this database field.",109,``misc.iowa_design_number``
**County**,"This database field utilizes a drop-down menu for simple selection of the Iowa County in which the specified bridge construction project is located.","Clarke",``locations.county``
**Township**,"This field allows one to manually enter the name of the township corresponding to the location of the specified Iowa bridge construction project.","Ward (T-72-N R-26-W)",``locations.township``
**Section**,"This numerical database field allows one to manually enter the section number in which the specified Iowa bridge construction project is located.",24,``misc.iowa_section``
**Pile Location**,"This text database field allows one to manually enter a short description of the test pile location in relation to the features of the bridge under construction. For instance, a typical description will specify if the test pile was located near an abutment or a pier. Furthermore, either the pile number or a detailed narrative identifying the exact location of the pile within the abutment or pier is usually provided.","South Side of U.S. 34 Median - East of the East Abutments",``locations.description``
**Tested By**,"This text database field allows one to manually enter the names of those people who were responsible for carrying out the pile load test on the specified pile.","AbdelSalam - Ng - Roling",``load_tests.tested_by``
**Date Tested**,"In this database field, which has been formatted to accept dated entries of the form: Month/Day/Year (e.g., 3/8/1984), the date on which the pile static load test was conducted on the specified pile is specified.","5/28/2009",``load_tests.date_tested``
**Date Reported**,"In this database field, which has been formatted to accept dated entries of the form: Month/Day/Year (e.g., 3/8/1984), the date on which the pile load test results for the specified pile were reported to the Iowa DOT is specified.","4/27/2010",``misc.iowa_date_reported``
**Pile Type**,"This database field utilizes a drop-down menu for simple selection of the test pile type and size. The options available for selection in  this database field are as follows: Steel H-Piles (10X42, 10X57, 12X53, 12X74, 14X73, 14X89, and Steel H – a generic option that may be utilized for instances where the exact Steel H pile size is unknown), Monotube Piles, Steel Pipe Piles (10-in, 12-in, 16-in, and 18-in outside diameter), and Timber Piles (18-ft, 20-ft, 25-ft, 30-ft, 34-ft, 35-ft, 40-ft, 45-ft, 50-ft, 55-ft, and 60-ft length or Timber – a generic option that may be utilized for instances where the exact timber pile length is unknown).","HP 10X42","``piles.type`` and ``piles.shape``"
**Date Driven**,"In this database field, which has been formatted to accept dated entries of the form Month/Day/Year (e.g., 3/8/1984), the date on which the  specified test pile was driven is included.","5/19/2009",``piles.date_driven``
**Design Load**,"**(TONS)** This database field specifies the total sum of all design loads for which any given pile in the structure is anticipated to support based on the superstructure loading evaluation accomplished using either WSD or LRFD principles. In other words, the given pile must possess a bearing resistance equal to or greater than this value to ensure the safety of the structure. For all piles driven prior to October 1, 2007, the reported value in this field corresponds to the WSD design load while LRFD design load is included for all piles driven after this date, since it corresponds to the FHWA's mandate on the use of LRFD for all new bridge construction.","N/A",``piles.design_load``
**Formula Bearing (TONS)**,"This database field specifies the anticipated bearing resistance for a given pile as determined through the use of the Iowa DOT Modified ENR dynamic pile driving formula, which is supplied in Article 2501.13 of the Iowa Department of Transportation Standard Specifications, Series 2008 (Iowa DOT, 2008) and is discussed in more detail in Chapter 3 of AbdelSalam et al. (2010).",38.3,"``calc_capacities.load`` of type 'Bearing Iowa DOT Modified ENR'"
**Hammer Type**,"This database field contains information about the type of hammer used for driving the test pile. Examples of possible entries into this database field include: Gravity, Kobe K-13, and Delmag D-12; the last two examples specify both a brand and series number.","Delmag D16-32",``installations.hammer_type``
**Initial Bored Hole Depth (FEET)**,"**Depth of Hole Bored before Driving Pile (ft):** The depth, in feet, of the hole bored to initiate pile driving of the specified test pile. (A value of zero in this field indicates that no hole was bored prior to driving.)",0,``piles.predrill_depth``
**Embedded Pile Length (FEET)**,"**Length of Test Pile in Contact with the Soil (ft):** The length, in feet, of the test pile in direct contact with the soil",55,``piles.emb_length``
**Pile Toe Elevation (FEET)**,"**Elevation at the Bottom Tip of the Test Pile (ft):** The elevation, in feet, at which the toe of the driven test pile resides with reference to the mean sea level datum.","N/A",``piles.toe_elevation``
**Maximum Applied Load (TONS)**,"**Highest Gauge Reading Under ### Ton Load (in):** Based upon the SLT results for the specified pile, the maximum load experienced by the pile is recorded where the number signs (i.e., ###) appear in the above statement and the displacement gauge reading, in inches, corresponding to this maximum applied load is included in the database.",131.5,"``interp_capacities.load`` of type 'Maximum Load'"
**Highest Gauge Reading (INCHES)**,*(description as above)*,0.53,"``interp_capacities.displacement`` of type 'Maximum Load'"
**Rebound Time Duration (MINUTES)**,"**Gauge Reading after Load Released for ### Minutes (in):** The final entry into each record’s static load test table shows a load of zero tons and a corresponding non-zero gauge reading. This gauge reading represents the rebound of the specified pile after the release of the maximum applied vertical load for a given period of time. The time between the release of the maximum applied load to the pile and the subsequent recording of the final gauge reading is added where the number signs (i.e., ###) appear in the above statement. The final gauge reading, in inches, is then specified in the database.",10,``load_tests.rebound_time``
**Rebound Gauge Reading (INCHES)**,*(description as above)*,0.558,``load_tests.rebound_displacements``
**Record Complete**,"**All Record Data Entered?:** This yes/no database field was created mostly for the one(s) responsible for the data entry procedures, so that an easy distinction could be made between those records still requiring data to be entered and those that had been termed complete. When all available information has been entered for a specific record, this field receives a check mark.","YES",``misc.iowa_record_complete``
**Record Comments**,"Any pertinent additional information regarding the record as a whole is included in this text database field.","N/A",
**Attachments (1)**,"These six hyperlink database fields were created so that important information related to each pile load test could be easily accessed from the PLTRF. The hyperlinked text descriptions found within these database fields maintain a direct path to the file of interest.","*(hyperlink)*","``attachments.file_name`` and ``attachments.file_url``"
**Attachments (2)**,*(description as above)*,"N/A","``attachments.file_name`` and ``attachments.file_url``"
**Attachments (3)**,*(description as above)*,"N/A","``attachments.file_name`` and ``attachments.file_url``"
**Attachments (4)**,*(description as above)*,"N/A","``attachments.file_name`` and ``attachments.file_url``"
**Attachments (5)**,*(description as above)*,"N/A","``attachments.file_name`` and ``attachments.file_url``"
**Attachments (6)**,*(description as above)*,"N/A","``attachments.file_name`` and ``attachments.file_url``"
**Davisson Pile Capacity (TONS)**,"Utilizing the static load test results supplied for each pile, the Davisson failure criterion was utilized to determine the ultimate pile capacity (i.e., the dependable pile resistance). The Davisson failure criterion states that the ultimate load of a pile subjected to a vertical load test is the load which the displacement of the pile exceeds the elastic compression of the pile by 0.15 + D/120 inches, where D is the pile depth or diameter (Davisson, 1972). The elastic compression of the pile is simply the length of the pile divided by its elastic modulus and cross-sectional area (i.e., the pile stiffness), then multiplied by the applied load. The Davisson pile capacity established for each pile SLT is provided in this numerical database field.",121,"``interp_capacities.load`` of type 'Standard Davisson'"
