Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
txt_PileDesignation,nvarchar(255),YES,,
txt_PileType,nvarchar(255),YES,,
txt_ConstructionMethodCode,nvarchar(255),YES,,
txt_StructureNumber,nvarchar(255),YES,,
txt_PierGroupNumber,nvarchar(255),YES,,
txt_SacrificialOrProductionPile,nvarchar(255),YES,,
lng_NumberOfSections,int,YES,,
txt_GeometryCode,nvarchar(255),YES,,
txt_TipTreatmentCode,nvarchar(255),YES,,
dbl_GroundElevation,float,YES,,
dbl_DepthToWater,float,YES,,
txt_SoilTypeGen,nvarchar(50),YES,,
txt_SoilTypeSide,nvarchar(50),YES,,
txt_SoilTypeTip,nvarchar(50),YES,,
dbl_TopElevation,float,YES,,
dbl_TipElevation,float,YES,,
dbl_TotalLength,float,YES,,
dbl_EmbeddedLength,float,YES,,
dbl_PermanentCasedLength,float,YES,,
dbl_PermanentCasingBottomElevation,float,YES,,
dbl_DistanceToReactionPile1,float,YES,,
dbl_DistanceToReactionPile2,float,YES,,
dbl_DistanceToReactionPile3,float,YES,,
dbl_DistanceToReactionPile4,float,YES,,
dbl_BatterAngle,float,YES,,
dte_InstallStartDate,datetime2,YES,,
dte_InstallEndDate,datetime2,YES,,
txt_InstallationSubcontractor,nvarchar(255),YES,,
dbl_Easting,float,YES,,
dbl_Northing,float,YES,,
dbl_Station,float,YES,,
dbl_Offset,float,YES,,
dbl_Latitude,float,YES,,
dbl_Longitude,float,YES,,
txt_Remarks,nvarchar(-1),YES,,
txt_CreatedBy,nvarchar(16),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_ModifiedDate,datetime2,YES,,
