Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
dbl_Diameter,float,YES,,
dbl_CrossSectionArea,float,YES,,
dbl_MomentInertia,float,YES,,
dbl_ConcreteStrength,float,YES,,
dbl_ConcreteModulus,float,YES,,
dbl_WeightPerUnitLength,float,YES,,
txt_ReinforcementCode,nvarchar(25),YES,,
dbl_ReinforcementTotalXArea,float,YES,,
dbl_ReinforcementYieldStrength,float,YES,,
dbl_ReinforcementModulus,float,YES,,
txt_CreatedBy,nvarchar(16),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_ModifiedDate,datetime2,YES,,
