Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
txt_HpileCode,nvarchar(10),YES,,
txt_HpileCodeOld,nvarchar(10),YES,,
dbl_WeightPerUnitLength,float,YES,,
dbl_CrossSectionArea,float,YES,,
dbl_DepthSection,float,YES,,
dbl_FlangeWidth,float,YES,,
dbl_FlangeDepth,float,YES,,
dbl_WebThickness,float,YES,,
dbl_CoatingArea,float,YES,,
dbl_MomentInertiaXX,float,YES,,
dbl_MomentInertiaYY,float,YES,,
dbl_SteelModulus,float,YES,,
dbl_SteelYieldStrength,float,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_AddDate,datetime2,YES,,
dte_ModifiedDate,datetime2,YES,,
txt_CreatedBy,nvarchar(16),YES,,
