Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
dbl_WallThickness,float,YES,,
dbl_OuterDiameter,float,YES,,
dbl_InnerDiameter,float,YES,,
dbl_CrossSectionArea,float,YES,,
dbl_EndArea,float,YES,,
dbl_MomentInertia,float,YES,,
dbl_WeightPerUnitLength,float,YES,,
dbl_SteelModulus,float,YES,,
dbl_SteelYieldStrength,float,YES,,
txt_ConcreteFilledYN,nvarchar(8),YES,,
dbl_ConcreteDepth,float,YES,,
dbl_ConcreteStrength,float,YES,,
dbl_ConcreteModulus,float,YES,,
dbl_ReinforcementTotalXArea,float,YES,,
dbl_ReinforcementPctXArea,float,YES,,
dbl_ReinforcementYieldStrength,float,YES,,
dbl_ReinforcementModulus,float,YES,,
dbl_CompositeModulus,float,YES,,
txt_ArtificialPlugYN,nvarchar(8),YES,,
txt_ArtificialPlugNote,nvarchar(255),YES,,
txt_CreatedBy,nvarchar(16),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_ModifiedDate,datetime2,YES,,
