Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
txt_KeyExplorationName (PK),nvarchar(25),NO,,
dbl_KeyDepth (PK),float,NO,mm,
dbl_PressureLimiting,float,YES,Pa,
dbl_LateralStress,float,YES,Pa,
dbl_K0,float,YES,n/a,
dbl_InitialModulus,float,YES,Pa,
dbl_ReloadModulus,float,YES,Pa,
dbl_ShearModulus,float,YES,Pa,
dbl_UndrainedShearStrength,float,YES,Pa,
dbl_FrictionAngle,float,YES,deg,
dbl_DilationAngle,float,YES,deg,
txt_CreatedBy,nvarchar(16),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_ModifiedDate,datetime2,YES,,
