Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
txt_KeyExplorationName (PK),nvarchar(25),NO,,
dbl_KeyDepthToBottom (PK),float,NO,,
txt_USCSCode,nvarchar(6),YES,,
txt_ASTMCode,nvarchar(20),YES,,
txt_PrimarySoilDescriptionCode,nvarchar(5),YES,,
txt_SecondarySoilDescriptionCode,nvarchar(5),YES,,
txt_PlasticityDescriptionCode,nvarchar(5),YES,,
txt_LayerDescription,nvarchar(255),YES,,
txt_GeologicUnit,nvarchar(255),YES,,
dbl_BlowCountInterpreted,float,YES,,
dbl_BlowIncrement,float,YES,,
dbl_CohesionInterpreted,float,YES,,
dbl_FrictionAngleInterpreted,float,YES,,
dbl_CptqcInterpreted,float,YES,,
dbl_CptfsInterpreted,float,YES,,
dbl_UnitWeightInterpreted,float,YES,,
dbl_ShearVelocityInterpreted,float,YES,,
dbl_YoungsModulusInterpreted,float,YES,,
dbl_ShearModulusInterpreted,float,YES,,
dbl_KoInterpreted,float,YES,,
dbl_OCRInterpreted,float,YES,,
dbl_WaterContentInterpreted,float,YES,,
dbl_LLInterpreted,float,YES,,
dbl_PLInterpreted,float,YES,,
dbl_PIInterpreted,float,YES,,
dbl_RQDInterpreted,nvarchar(20),YES,,
txt_CreatedBy,nvarchar(16),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_ModifiedDate,datetime2,YES,,
