Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
txt_KeyDriveSequenceCode (PK),nvarchar(5),NO,,
dbl_KeyDeepFoundationDepth (PK),float,NO,,
dbl_TimeMeasured,float,YES,,
dbl_BlowsPerIncrement,float,YES,,
dbl_BlowIncrement,float,YES,,
dbl_Stroke,float,YES,,
dbl_PDABlowDepth,float,YES,,
dbl_PDABlowNumber,float,YES,,
dbl_PDABlows,float,YES,,
dbl_PDACSXStress,float,YES,,
dbl_PDACSIStress,float,YES,,
dbl_PDAFMXForce,float,YES,,
dbl_PDAMaxTransferedEnergy,float,YES,,
dbl_PDAETREnergyTransferRatio,float,YES,,
dbl_PDAETHPotentialEnergyTransferRatio,float,YES,,
dbl_PDACaseCapacityJc0,float,YES,,
dbl_PDACaseCapacityJc1,float,YES,,
dbl_PDACaseCapacityJc2,float,YES,,
dbl_PDACaseCapacityJc3,float,YES,,
dbl_PDACaseCapacityJc4,float,YES,,
dbl_PDACaseCapacityJc5,float,YES,,
dbl_PDACaseCapacityJc6,float,YES,,
dbl_PDACaseCapacityJc7,float,YES,,
dbl_PDACaseCapacityJc8,float,YES,,
dbl_PDACaseCapacityJc9,float,YES,,
txt_Remarks,nvarchar(255),YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_AddDate,datetime2,YES,,
dte_ModifiedDate,datetime2,YES,,
txt_CreatedBy,nvarchar(16),YES,,
