Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
lng_KeyLoadTest (PK),int,NO,,
dbl_KeyTotalAppliedLoad (PK),float,NO,,
dbl_Ptr,float,YES,,
dbl_Force01,float,YES,,
dbl_Force02,float,YES,,
dbl_Force03,float,YES,,
dbl_Force04,float,YES,,
dbl_Force05,float,YES,,
dbl_Force06,float,YES,,
dbl_Force07,float,YES,,
dbl_Force08,float,YES,,
dbl_Force09,float,YES,,
dbl_Force10,float,YES,,
dbl_Force11,float,YES,,
dbl_Force12,float,YES,,
dbl_Force13,float,YES,,
dbl_Force14,float,YES,,
dbl_Force15,float,YES,,
dbl_Force16,float,YES,,
dte_AddDate,datetime2,YES,,
txt_CreatedBy,nvarchar(50),YES,,
dte_ModifiedDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(50),YES,,
