Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
lng_KeyLoadTest (PK),int,NO,,
lng_KeyLoadStep (PK),int,NO,,
dte_ReadTime,float,YES,,
dbl_ElapsedTIme,float,YES,,
dbl_StatnamicForce,float,YES,,
dbl_StatnamicDisplacement,float,YES,,
dbl_StatnamicForceMiddendorp,float,YES,,
dbl_StatnamicDisplacementMiddendorp,float,YES,,
dbl_StatnamicForceSUP,float,YES,,
dbl_StatnamicDisplacementSUP,float,YES,,
dbl_StatnamicForceMUP,float,YES,,
dbl_StatnamicDisplacementMUP,float,YES,,
dbl_StatnamicForceBase,float,YES,,
dbl_StatnamicDisplacementBase,float,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_AddDate,datetime2,YES,,
dte_ModifiedDate,datetime2,YES,,
txt_CreatedBy,nvarchar(16),YES,,
