Original Attribute,Type,Null,Units,New Attribute
lng_KeyProject (PK),int,NO,,``projects.source_id``
txt_SourceDb,nvarchar(15),YES,,``projects.source_db``
txt_ProjectName,nvarchar(255),YES,,``projects.site_name``
txt_Address,nvarchar(255),YES,,``locations.address``
txt_City,nvarchar(255),YES,,``locations.city``
txt_County,nvarchar(55),YES,,``locations.county``
txt_StateCode,nvarchar(2),YES,,``locations.state``
txt_CountryCode,nvarchar(5),YES,,``locations.country``
txt_USCSPredominant,nvarchar(25),YES,,
txt_ASTMPredominant,nvarchar(25),YES,,*(empty)*
txt_ASTMLegacy,nvarchar(80),YES,,
dbl_Latitude,float,YES,,``locations.latitude``
dbl_Longitude,float,YES,,``locations.longitude``
txt_VerticalDatumCode,nvarchar(25),YES,,*(mostly empty)*
txt_HorizontalDatumCode,nvarchar(25),YES,,*(empty)*
txt_GeologicProvinceCode,nvarchar(25),YES,,
txt_GeologicUnit,nvarchar(255),YES,,
txt_GeneralSoilDescription,nvarchar(50),YES,,``borings.predom_soil``
txt_ProjectID,nvarchar(100),YES,,``projects.number``
txt_Title,nvarchar(100),YES,,``projects.title``
mem_Remarks,nvarchar(-1),YES,,``projects.description``
txt_Owner,nvarchar(255),YES,,*(empty)*
txt_DataSourceCompanyAgency,nvarchar(255),YES,,
txt_DataSourceFirstname,nvarchar(50),YES,,
txt_DataSourceLastname,nvarchar(50),YES,,
txt_DataSourcePhone,nvarchar(20),YES,,
txt_DataSourceEmail,nvarchar(255),YES,,
txt_PrimeConsultant,nvarchar(50),YES,,
txt_GeotechnicalConsultant,nvarchar(50),YES,,
txt_GeneralContractor,nvarchar(50),YES,,``projects.contractor``
txt_Publication,nvarchar(-1),YES,,``projects.source_ref``
txt_CreatedBy,nvarchar(20),YES,,*(unusable)*
dte_AddDate,datetime2,YES,,``projects.date_added``
txt_ModifiedBy,nvarchar(20),YES,,*(unusable)*
dte_ModifiedDate,datetime2,YES,,``projects.date_modified``
