Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
txt_KeyBODEODCode (PK),nvarchar(6),NO,,
lng_KeyBlowNumber (PK),int,NO,,
txt_Remarks,nvarchar(255),YES,,
dbl_SetupDays,float,YES,,
dbl_CapacityTotal,float,YES,,
dbl_CapacityShaft,float,YES,,
dbl_CapacityToe,float,YES,,
dbl_UnitResistanceToe,float,YES,,
dbl_CaseDampingShaft,float,YES,,
dbl_CaseDampingToe,float,YES,,
dbl_SmithDampingShaft,float,YES,,
dbl_SmithDampingToe,float,YES,,
dbl_QuakeShaft,float,YES,,
dbl_QuakeToe,float,YES,,
dbl_UnldLegacy,float,YES,,
dbl_CsknLegacy,float,YES,,
dbl_CtoeLegacy,float,YES,,
dbl_LsknLegacy,float,YES,,
dbl_LtoeLegacy,float,YES,,
dbl_SkdpLegacy,float,YES,,
dbl_BtdpLegacy,float,YES,,
dbl_MsknLegacy,float,YES,,
dbl_MtoeLegacy,float,YES,,
dbl_TgapLegacy,float,YES,,
dbl_PlugLegacy,float,YES,,
txt_CreatedBy,nvarchar(16),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_ModifiedDate,datetime2,YES,,
