Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
txt_KeyBODEODCode (PK),nvarchar(6),NO,,
lng_KeyBlowNumber (PK),int,NO,,
int_KeySegment (PK),int,NO,,
dbl_DistanceBelowGages,float,YES,,
dbl_DepthBelowGrade,float,YES,,
dbl_RuForceInSegment,float,YES,,
dbl_ForceInPile,float,YES,,
dbl_SumRuSumSegmentForcesSide,float,YES,,
dbl_SegmentUnitResistance,float,YES,,
txt_CreatedBy,nvarchar(16),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_ModifiedDate,datetime2,YES,,
