Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
dbl_OuterDiameter,float,YES,,
dbl_InnerDiameter,float,YES,,
dbl_WallThickness,float,YES,,
dbl_CrossSectionArea,float,YES,,
dbl_MomentInertia,float,YES,,
dbl_WeightPerUnitLength,float,YES,,
dbl_CompositeModulus,float,YES,,
dbl_ConcreteStrength,float,YES,,
dbl_PrestressPressure,float,YES,,
dbl_PostTensionStress,float,YES,,
txt_PrestressYN,nvarchar(1),YES,,
txt_PostTensionYN,nvarchar(1),YES,,
txt_ReinforcementYN,nvarchar(1),YES,,
txt_CreatedBy,nvarchar(16),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_ModifiedDate,datetime2,YES,,
