Original Attribute,Type,Null,Units,New Attribute
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
dbl_DiameterMain,float,YES,mm,``piles.diameter``
dbl_DiameterSocket,float,YES,mm,*(mostly empty)*
dbl_PermanentCasingInnerDiameter,float,YES,mm,*(empty)*
dbl_PermanentCasingThickness,float,YES,mm,*(empty)*
dbl_PermanentCasingOuterDiameter,float,YES,mm,*(empty)*
dbl_CrossSectionArea,float,YES,mm2,``piles.cross_area``
dbl_MomentInertia,float,YES,,
dbl_ConcreteStrength,float,YES,Pa,*(empty)*
dbl_ConcreteModulus,float,YES,Pa,``piles.modulus``
dbl_WeightPerUnitLength,float,YES,,*(empty)*
txt_ReinforcementCode,nvarchar(25),YES,,*(empty)*
dbl_ReinforcementTotalXArea,float,YES,,*(empty)*
dbl_ReinforcementPctXArea,float,YES,,*(empty)*
dbl_ReinforcementYieldStrength,float,YES,,*(empty)*
dbl_ReinforcementModulus,float,YES,,*(empty)*
txt_ModifiedBy,nvarchar(18),YES,,
dte_AddDate,datetime2,YES,,
dte_ModifiedDate,datetime2,YES,,
txt_CreatedBy,nvarchar(16),YES,,
