Original Attribute,Type,Null,Units,New Attribute
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
txt_HpileCode,nvarchar(10),YES,,``piles.shape``
txt_HpileCodeOld,nvarchar(10),YES,,
dbl_WeightPerUnitLength,float,YES,kg/m,``piles.weight`` *(multiply by length)*
dbl_CrossSectionArea,float,YES,mm2,``piles.cross_area``
dbl_DepthSection,float,YES,mm,used for ``piles.square_circ``
dbl_FlangeWidth,float,YES,mm,``piles.diameter``
dbl_FlangeDepth,float,YES,mm,
dbl_WebThickness,float,YES,mm,``piles.wall_thickness``
dbl_CoatingArea,float,YES,mm2/mm,``piles.circumference``
dbl_MomentInertiaXX,float,YES,,
dbl_MomentInertiaYY,float,YES,,
dbl_SteelModulus,float,YES,Pa,``piles.modulus``
dbl_SteelYieldStrength,float,YES,,*(empty)*
txt_ModifiedBy,nvarchar(18),YES,,
dte_AddDate,datetime2,YES,,
dte_ModifiedDate,datetime2,YES,,
txt_CreatedBy,nvarchar(16),YES,,
