Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
dbl_CoreDiameter,float,YES,,
lng_NumberOfSides,int,YES,,
dbl_SideLength,float,YES,,
dbl_EquivalentDiameter,float,YES,,
dbl_Perimeter,float,YES,,
dbl_CrossSectionArea,float,YES,,
dbl_MomentInertia,float,YES,,
dbl_WeightPerUnitLength,float,YES,,
dbl_ConcreteModulus,float,YES,,
dbl_ConcreteStrength,float,YES,,
dbl_PrestressPressure,float,YES,,
txt_PrestressLegacy,nvarchar(1),YES,,
txt_ReinforceLegacy,nvarchar(18),YES,,
txt_CreatedBy,nvarchar(16),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_ModifiedDate,datetime2,YES,,
