Original Attribute,Type,Null,Units,New Attribute
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
dbl_WallThickness,float,YES,mm,``piles.wall_thickness``
dbl_OuterDiameter,float,YES,mm,``piles.diameter``
dbl_InnerDiameter,float,YES,,
dbl_CrossSectionArea,float,YES,mm2,``piles.cross_area``
dbl_EndArea,float,YES,,*(empty)*
dbl_MomentInertia,float,YES,,
dbl_WeightPerUnitLength,float,YES,kg/m,``piles.weight``
dbl_SteelModulus,float,YES,Pa,``piles.modulus``
dbl_SteelYieldStrength,float,YES,,
txt_ConcreteFilledYN,nvarchar(8),YES,,``piles.remarks``
dbl_ConcreteDepth,float,YES,,*(mostly empty)*
dbl_ConcreteStrength,float,YES,,*(mostly empty)*
dbl_ConcreteModulus,float,YES,,*(mostly empty)*
dbl_ReinforcementTotalXArea,float,YES,,*(mostly empty)*
dbl_ReinforcementPctXArea,float,YES,,*(empty)*
dbl_ReinforcementYieldStrength,float,YES,,*(empty)*
dbl_ReinforcementModulus,float,YES,,
dbl_CompositeModulus,float,YES,Pa,``piles.modulus``
txt_ArtificialPlugYN,nvarchar(8),YES,,
txt_ArtificialPlugNote,nvarchar(255),YES,,
txt_CreatedBy,nvarchar(16),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_ModifiedDate,datetime2,YES,,
