Original Attribute,Type,Null,Units,New Attribute
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
dbl_TopDiameter,float,YES,mm,``piles.diameter``
dbl_TipDiameter,float,YES,mm,
dbl_MomentInertia,float,YES,,*(empty)*
dbl_Modulus,float,YES,Pa,``piles.modulus``
dbl_TaperAngle,float,YES,,*(empty)*
txt_WoodTypeCode,nvarchar(5),YES,,
dbl_Strength,float,YES,,*(empty)*
dbl_UnitWeight,float,YES,,*(empty)*
txt_CreatedBy,nvarchar(16),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_ModifiedDate,datetime2,YES,,
