Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
txt_KeyExplorationName (PK),nvarchar(25),NO,,
txt_KeyExplorationType (PK),nvarchar(12),NO,,
txt_ExplorationSubType,nvarchar(255),YES,,
dte_ExplorationDate,datetime2,YES,,
txt_ExplorationHammerTypeCode,nvarchar(10),YES,,
dbl_HammerEfficiency,float,YES,%,
dbl_ConeDiameter,float,YES,mm,
dbl_ConeAngle,float,YES,deg,
dbl_ConeBaseArea,float,YES,mm\ :sup:`2`,
dbl_RodDiameter,float,YES,mm,
txt_ConeType,nvarchar(255),YES,,
dbl_CPTRatioa,float,YES,n/a,
dbl_CPTRatiob,float,YES,n/a,
txt_PMTInstallMethodCode,nvarchar(255),YES,,
txt_PMTDeviceTypeCode,nvarchar(5),YES,,
mem_Remarks,nvarchar(255),YES,,
dbl_DepthToWaterStatic,float,YES,mm,
dbl_MeasuringDepthWaterStatic,float,YES,mm,
dbl_DepthToWaterArtesian,float,YES,mm,
dbl_ArtesianMeasuringDepth,float,YES,mm,
txt_FreshOrSaltWater,nvarchar(25),YES,,
dbl_GroundElevation,float,YES,mm,
dbl_Easting,float,YES,mm,
dbl_Northing,float,YES,mm,
dbl_Latitude,float,YES,deg,
dbl_Longitude,float,YES,deg,
dbl_Station,float,YES,mm,
dbl_Offset,float,YES,mm,
txt_USCSCodePredominant,nvarchar(255),YES,,
txt_ASTMCodePredominant,nvarchar(255),YES,,
txt_CreatedBy,nvarchar(16),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_ModifiedDate,datetime2,YES,,
