Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
txt_KeyExplorationName (PK),nvarchar(25),NO,,
dbl_KeyDepth (PK),float,NO,,
dbl_UncorrectedTipResistance,float,YES,,
dbl_SleeveFriction,float,YES,,
dbl_MeasuredPorePressure,float,YES,,
dbl_RFFrictionRatio,float,YES,,
dbl_qtCorrectedConeTipResistance,float,YES,,
dbl_uSteadyStatePorePressure,float,YES,,
dbl_QtNormalizedConeTipResistance,float,YES,,
dbl_FrNormalizedFrictionRatio,float,YES,,
dbl_BqPorePressureParameterRatio,float,YES,,
dbl_IcSoilBehaviorIndex,float,YES,,
dbl_SBTSoilBehaviorType,float,YES,,
dbl_OCR,float,YES,,
dbl_FrictionAngle,float,YES,,
dbl_UndrainedShearStrength,float,YES,,
lng_EquivalentSPTBlowCount,int,YES,,
txt_USCSCodeLegacy,nvarchar(6),YES,,
txt_ASTMCodeLegacy,nvarchar(20),YES,,
txt_CreatedBy,nvarchar(16),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_ModifiedDate,datetime2,YES,,
