Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
txt_KeyExplorationName (PK),nvarchar(25),NO,,
dbl_KeyDepth (PK),float,NO,mm,
txt_USCSCode,nvarchar(18),YES,,
txt_ASTMCode,nvarchar(18),YES,,
dbl_MoistureContent,float,YES,%,
dbl_TotalUnitWeight,float,YES,kg/m\ :sup:`3`,
dbl_DryDensity,float,YES,kg/m\ :sup:`3`,
dbl_RelativeDensity,float,YES,%,
dbl_UnitWeightMax,float,YES,kg/m\ :sup:`3`,
dbl_UnitWeightMin,float,YES,kg/m\ :sup:`3`,
dbl_LiquidLimit,float,YES,%,
dbl_PlasticLimit,float,YES,%,
dbl_PlasticityIndex,float,YES,%,
dbl_D10,float,YES,mm,
dbl_D30,float,YES,mm,
dbl_D60,float,YES,mm,
dbl_PercentGravel,float,YES,%,
dbl_PercentSand,float,YES,%,
dbl_PercentFines,float,YES,%,
dbl_percentClayFraction,float,YES,%,
dbl_Permeability,float,YES,m/s,
dbl_Saturation,float,YES,%,
dbl_CompressionIndex,float,YES,n/a,
dbl_ReCompressionIndex,float,YES,n/a,
dbl_VoidRatio,float,YES,n/a,
dbl_CoefficientOfConsolidation,float,YES,??,
dbl_CoeffficientOfCompression,float,YES,??,
dbl_T90,float,YES,min,
dbl_PreconsolidationPressure,float,YES,Pa,
dbl_OCR,float,YES,n/a,
txt_ShearTestCode,nvarchar(6),YES,,
dbl_Cohesion,float,YES,Pa,
dbl_Phi,float,YES,deg,
dbl_EffectCohesion,float,YES,Pa,
dbl_EffectPhi,float,YES,deg,
dbl_ShearStrLegacy,float,YES,Pa,
dbl_ModulusLegacy,float,YES,Pa,
txt_TypeModLegacy,nvarchar(20),YES,,
txt_CreatedBy,nvarchar(16),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_ModifiedDate,datetime2,YES,,
