Original Attribute,Type,Null,Units,New Attribute
lng_KeyProject (PK),int,NO,,
txt_KeyExplorationName (PK),nvarchar(25),NO,,
dbl_KeyDepthToBottom (PK),float,NO,,``layers.height`` *(converted from depth)*
txt_USCSCode,nvarchar(20),YES,,``layers.soil_type``
txt_ASTMCode,nvarchar(20),YES,,
txt_PrimarySoilDescriptionCode,nvarchar(5),YES,,``layers.soil_type``
txt_SecondarySoilDescriptionCode,nvarchar(5),YES,,
txt_PlasticityDescriptionCode,nvarchar(5),YES,,*(mostly empty)*
txt_LayerDescription,nvarchar(255),YES,,``layers.description``
txt_GeologicUnit,nvarchar(255),YES,,*(mostly empty)*
dbl_BlowCountInterpreted,float,YES,,``layers.nval`` *(LDOEP only)*
dbl_BlowIncrement,float,YES,,
dbl_CohesionInterpreted,float,YES,Pa,``layers.ssuu``
dbl_FrictionAngleInterpreted,float,YES,deg,``layers.friction_angle``
dbl_CptqcInterpreted,float,YES,,*(empty)*
dbl_CptfsInterpreted,float,YES,,*(empty)*
dbl_UnitWeightInterpreted,float,YES,kg/m3,``layers.tuw`` *(LDOEP only)*
dbl_ShearVelocityInterpreted,float,YES,,*(mostly empty)*
dbl_YoungsModulusInterpreted,float,YES,,*(mostly empty)*
dbl_ShearModulusInterpreted,float,YES,,*(empty)*
dbl_KoInterpreted,float,YES,,*(empty)*
dbl_OCRInterpreted,float,YES,,*(empty)*
dbl_WaterContentInterpreted,float,YES,,*(mostly empty)*
dbl_LLInterpreted,float,YES,,*(mostly empty)*
dbl_PLInterpreted,float,YES,,*(mostly empty)*
dbl_PIInterpreted,float,YES,,*(mostly empty)*
dbl_RQDInterpreted,nvarchar(20),YES,,*(mostly empty)*
txt_CreatedBy,nvarchar(16),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_ModifiedDate,datetime2,YES,,
