Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
txt_InstallationRemark,nvarchar(255),YES,,
txt_VibratoryHammerCode,nvarchar(255),YES,,
dbl_VibratoryStartDepth,float,YES,,
dbl_VibratoryEndDepth,float,YES,,
dte_VibratoryStartDate,datetime2,YES,,
dte_VibratoryEndDate,datetime2,YES,,
dbl_VibratoryTotalTime,float,YES,,
dbl_VibratoryPenetrationRatePer305mm,float,YES,,
txt_CreatedBy,nvarchar(16),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_ModifiedDate,datetime2,YES,,
