Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
lng_KeyLoadTest (PK),int,NO,,
dte_TestDate,datetime2,YES,,
dbl_SetupDays,float,YES,,
txt_LoadTestSubcontractor,nvarchar(255),YES,,
txt_LoadTestCode,nvarchar(255),YES,,
txt_LoadTypeCode,nvarchar(255),YES,,
txt_LoadDirectionCode,nvarchar(225),YES,,
txt_ASTMProcedureCode,nvarchar(255),YES,,
txt_MaxLoadCriteriaCode,nvarchar(255),YES,,
txt_FailCriteriaYN,nvarchar(255),YES,,
txt_CyclicTestYN,nvarchar(255),YES,,
txt_LoadXferDataYN,nvarchar(255),YES,,
txt_MeasuredSideYN,nvarchar(255),YES,,
txt_MeasuredTipYN,nvarchar(255),YES,,
dbl_PileTopElevAtTest,float,YES,,
dbl_GroundElevAtTest,float,YES,,
dbl_WaterTableAtTest,float,YES,,
dbl_StaticTotalLoadApplied,float,YES,,
dbl_StaticTotalDisplacement,float,YES,,
dbl_StaticSideForce,float,YES,,
dbl_StaticBaseForce,float,YES,,
dbl_StaticSideForceWithResidual,float,YES,,
dbl_StaticBaseForceWithResidual,float,YES,,
dbl_StaticBaseDisplacement,float,YES,,
txt_StatnamicTestIDLegacy,nvarchar(255),YES,,
dbl_StatnamicDevice,float,YES,,
txt_StatnamicCatchSystem,nvarchar(5),YES,,
dbl_StatnamicTotTime,float,YES,,
dbl_StatnamicPreLoad,float,YES,,
dbl_StatnamicPreDisplacement,float,YES,,
dbl_StatnamicMaxLoad,float,YES,,
dbl_StatnamicMaxDisplacement,float,YES,,
dbl_StatnamicMaxLoadMiddendorp,float,YES,,
dbl_StatnamicMaxDisplacementMiddendorp,float,YES,,
dbl_StatnamicMaxLoadSUP,float,YES,,
dbl_StatnamicMaxDisplacementSUP,float,YES,,
dbl_StatnamicMaxLoadMUP,float,YES,,
dbl_StatnamicMaxDisplacementMUP,float,YES,,
dbl_MaxUnitBaseResistance,float,YES,,
dbl_OCell1RatedCapacity,float,YES,,
dbl_OCell1Depth,float,YES,,
dbl_OCell1MaxUniDirectionalForce,float,YES,,
dbl_OCell1MaxUpDisplacement,float,YES,,
dbl_OCell1MaxDownDisplacement,float,YES,,
txt_OCell1Remarks,nvarchar(255),YES,,
dbl_OCell2RatedCapacity,float,YES,,
dbl_OCell2Depth,float,YES,,
dbl_OCell2MaxUniDirectionalForce,float,YES,,
dbl_OCell2MaxUpDisplacement,float,YES,,
dbl_OCell2MaxDownDisplacement,float,YES,,
txt_OCell2Remarks,nvarchar(255),YES,,
dbl_OCell3RatedCapacity,float,YES,,
dbl_OCell3Depth,float,YES,,
dbl_OCell3MaxUniDirectionalForce,float,YES,,
dbl_OCell3MaxUpDisplacement,float,YES,,
dbl_OCell3MaxDownDisplacement,float,YES,,
txt_OCell3Remarks,nvarchar(255),YES,,
dbl_OCellMaxTopLoad,float,YES,,
dbl_OCellMaxTopDisplacement,float,YES,,
dbl_OCellMaxTipLoad,float,YES,,
dbl_OCellMaxTipDisplacement,float,YES,,
txt_StaticLegacy,nvarchar(1),YES,,
txt_LoadTestRemarks,nvarchar(255),YES,,
txt_CreatedBy,nvarchar(16),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_ModifiedDate,datetime2,YES,,
