Original Attribute,Type,Null,Units,New Attribute
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
lng_KeyLoadTest (PK),int,NO,,
txt_KeyFailureCriteriaCode (PK),nvarchar(5),NO,,``interp_capacities.type``
dbl_FailureLoad,float,YES,,``interp_capacities.load``
dbl_SideResistance,float,YES,,*(almost empty)*
dbl_BaseResistance,float,YES,,*(almost empty)*
dbl_Displacement,float,YES,,``interp_capacities.displacement``
txt_CreatedBy,nvarchar(16),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_ModifiedDate,datetime2,YES,,
