Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
lng_KeyLoadTest (PK),int,NO,,
lng_KeyLoadStep (PK),int,NO,,
dte_ReadTime,datetime2,YES,,
dbl_ElapsedTime,float,YES,,
dbl_TopLoad,float,YES,,
dbl_TopDisplacement,float,YES,,
dbl_TipLoad,float,YES,,
dbl_TipDisplacement,float,YES,,
dbl_OCell1Load,float,YES,,
dbl_OCell1NetLoad,float,YES,,
dbl_OCell1Expansion,float,YES,,
dbl_OCell1UpDisplacement,float,YES,,
dbl_OCell1DownDisplacement,float,YES,,
dbl_OCell2Load,float,YES,,
dbl_OCell2NetLoad,float,YES,,
dbl_OCell2Expansion,float,YES,,
dbl_OCell2UpDisplacement,float,YES,,
dbl_OCell2DownDisplacement,float,YES,,
dbl_OCell3Load,float,YES,,
dbl_OCell3NetLoad,float,YES,,
dbl_OCell3Expansion,float,YES,,
dbl_OCell3UpDisplacement,float,YES,,
dbl_OCell3DownDisplacement,float,YES,,
dbl_EquivalentMaxTopLoad,float,YES,,
dbl_EquivalentMaxTopDisplacement,float,YES,,
txt_CreatedBy,nvarchar(16),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(18),YES,,
dte_ModifiedDate,datetime2,YES,,
