Column,Type,Null,Units,NYU GPLTD-W Field
lng_KeyProject (PK),int,NO,,
lng_KeyDeepFoundation (PK),int,NO,,
lng_KeyLoadTest (PK),int,NO,,
lng_KeyLoadStep (PK),int,NO,,
dte_ReadTime,datetime2,YES,,
dbl_ElapsedTime,float,YES,,
dbl_TotalAppliedLoadGeneric,float,YES,,
dbl_TotalAppliedLoadCell,float,YES,,
dbl_TotalAppliedLoadJack,float,YES,,
dbl_TotalAppliedLoadStrainGage,float,YES,,
dbl_DisplGeneric,float,YES,,
dbl_DisplPileHeadSurvey,float,YES,,
dbl_DisplDialGage,float,YES,,
dbl_DisplWireLine,float,YES,,
dbl_DisplLiquidLevelGage,float,YES,,
txt_CreatedBy,nvarchar(20),YES,,
dte_AddDate,datetime2,YES,,
txt_ModifiedBy,nvarchar(20),YES,,
dte_ModifiedDate,datetime2,YES,,
